# index, name, nodeLabel, _pos
199,CG10214,CG10214,"array([0.42925117, 0.63156333])"
200,CG7222,CG7222,"array([0.29490265, 0.3031345 ])"
201,Ercc1,Ercc1,"array([0.03867129, 0.67520246])"
202,CG33052,CG33052,"array([-0.01966618,  0.53499615])"
203,mei-9,mei-9,"array([0.09682288, 0.58786065])"
204,Xpac,Xpac,"array([-0.1099798 ,  0.91856682])"
205,CG10219,CG10219,"array([0.39753318, 1.03819329])"
206,Tapdelta,Tapdelta,"array([0.31945605, 0.96908742])"
207,CG10222,CG10222,"array([-0.77140185,  1.2544721 ])"
208,CG32683,CG32683,"array([-0.95276699,  1.33764247])"
209,CG3704,CG3704,"array([-0.483868  ,  1.12524893])"
210,RanBP3,RanBP3,"array([-0.14959747,  1.18785121])"
211,CG5011,CG5011,"array([-0.06853153,  1.11077416])"
212,rdx,rdx,"array([0.08870104, 0.91817948])"
213,kat80,kat80,"array([0.32120084, 0.62922443])"
214,shot,shot,"array([0.00920286, 1.13595352])"
215,CG7856,CG7856,"array([0.10741302, 0.71338519])"
216,Rpn9,Rpn9,"array([0.4832184 , 0.87232882])"
217,Rpn5,Rpn5,"array([0.40795994, 0.83493131])"
218,retinophilin,retinophilin,"array([0.01401965, 0.97962688])"
219,kni,kni,"array([0.07217648, 0.96944134])"
220,NiPp1,NiPp1,"array([0.1020327 , 1.08169898])"
221,CG10237,CG10237,"array([0.43211361, 0.55967542])"
222,cbs,cbs,"array([0.20076271, 0.87356888])"
223,Mocs2,Mocs2,"array([0.29375864, 1.06314594])"
224,CG13090,CG13090,"array([0.15568052, 0.76926005])"
225,Cyp6a22,Cyp6a22,"array([0.42586838, 0.51854631])"
226,Osi6,Osi6,"array([0.24121206, 0.53226694])"
227,Cyp6a19,Cyp6a19,"array([-0.4163565 ,  0.64577763])"
228,CG6950,CG6950,"array([-0.0740113 ,  0.71530193])"
229,Cyp6a9,Cyp6a9,"array([-0.2787158 ,  0.71497757])"
230,CG5144,CG5144,"array([-0.08035721,  0.39761318])"
231,CG10251,CG10251,"array([-0.37021254,  0.40406353])"
232,Cpr67Fa2,Cpr67Fa2,"array([-0.07049223,  0.6669647 ])"
233,CG10252,CG10252,"array([-0.2041824 ,  0.82962726])"
234,CG1486,CG1486,"array([-0.14944408,  1.08355557])"
235,Lap1,Lap1,"array([0.36289506, 0.5212092 ])"
236,CG9254,CG9254,"array([0.53917258, 0.21306205])"
237,CG10257,CG10257,"array([-0.48266245,  0.70506322])"
238,bur,bur,"array([-0.10425983,  0.78574422])"
239,aPKC,aPKC,"array([0.16997219, 0.73042903])"
