# index, name, code, _pos
1487,Andlersdorf <30802>,GRBEZAKT-308,"array([-2.53068096,  2.31995624])"
1488,Dürnkrut <30811>,GRBEZAKT-308,"array([-2.5118597,  2.3510007])"
1489,Prottes <30848>,GRBEZAKT-308,"array([-2.50658571,  2.35841649])"
1490,Velm-Götzendorf <30859>,GRBEZAKT-308,"array([-2.52032703,  2.33524347])"
1491,Weiden an der March <30865>,GRBEZAKT-308,"array([-2.50047441,  2.3474812 ])"
1492,Haugschlag <30915>,GRBEZAKT-309,"array([-2.49465198,  2.32541749])"
1493,Bernhardsthal <31604>,GRBEZAKT-316,"array([-2.50485562,  2.35068915])"
1494,Großengersdorf <31615>,GRBEZAKT-316,"array([-2.50283336,  2.34313042])"
1495,Pillichsdorf <31642>,GRBEZAKT-316,"array([-2.52587114,  2.34316016])"
1496,Hauskirchen <30826>,GRBEZAKT-308,"array([-2.51831368,  2.34599497])"
1497,Schönkirchen-Reyersdorf <30852>,GRBEZAKT-308,"array([-2.52345691,  2.34987506])"
1498,Bockfließ <31605>,GRBEZAKT-316,"array([-2.51051126,  2.34581859])"
1499,Wilfersdorf <31654>,GRBEZAKT-316,"array([-2.51683267,  2.34999435])"
1500,Groß-Schweinbarth <30824>,GRBEZAKT-308,"array([-2.52424495,  2.34293011])"
1501,Glinzendorf <30819>,GRBEZAKT-308,"array([-2.52365399,  2.32651933])"
1502,Markgrafneusiedl <30836>,GRBEZAKT-308,"array([-2.51246047,  2.34253755])"
1503,Parbasdorf <30846>,GRBEZAKT-308,"array([-2.51344771,  2.31051785])"
1504,Tulbing <32134>,GRBEZAKT-321,"array([-2.50335559,  2.36462092])"
1505,Ludweis-Aigen <32212>,GRBEZAKT-322,"array([-2.49084207,  2.33590384])"
1506,Jedenspeigen <30829>,GRBEZAKT-308,"array([-2.51385338,  2.33894917])"
1507,Ringelsdorf-Niederabsdorf <30850>,GRBEZAKT-308,"array([-2.51565444,  2.34669806])"
1508,Spannberg <30854>,GRBEZAKT-308,"array([-2.51766606,  2.3364818 ])"
1509,Reingers <30929>,GRBEZAKT-309,"array([-2.4958533 ,  2.32973354])"
1510,Steeg <70831>,GRBEZAKT-708,"array([-2.54057885,  2.44763797])"
1511,Großhofen <30822>,GRBEZAKT-308,"array([-2.52518353,  2.3085296 ])"
1512,Drasenhofen <31606>,GRBEZAKT-316,"array([-2.50247081,  2.35110936])"
1513,Mannsdorf an der Donau <30834>,GRBEZAKT-308,"array([-2.54339644,  2.3450042 ])"
1514,Eberschwang <41204>,GRBEZAKT-412,"array([-2.4790439,  2.4013983])"
1515,Laßnitzhöhe <60628>,GRBEZAKT-606,"array([-2.54350733,  2.37782669])"
1516,Mariastein <70516>,GRBEZAKT-705,"array([-2.51168059,  2.4437252 ])"
1517,Neusiedl an der Zaya <30841>,GRBEZAKT-308,"array([-2.51345787,  2.34684056])"
1518,Hohenruppersdorf <30828>,GRBEZAKT-308,"array([-2.52782121,  2.33896715])"
1519,Asparn an der Zaya <31603>,GRBEZAKT-316,"array([-2.5086877 ,  2.34716078])"
1520,Großmugl <31204>,GRBEZAKT-312,"array([-2.49818031,  2.36441304])"
1521,Pulkau <31035>,GRBEZAKT-310,"array([-2.51410785,  2.34451448])"
